Format Version,1.21,Take Name,evo_flight_11,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2018-07-20 10.57.49 AM,Total Frames in Take,14678,Total Exported Frames,14678,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body
,,bebop2_tom,bebop2_tom,bebop2_tom,bebop2_tom,bebop2_tom,bebop2_tom,bebop2_tom
,,"8392B20CF49E35731","8392B20CF49E35731","8392B20CF49E35731","8392B20CF49E35731","8392B20CF49E35731","8392B20CF49E35731","8392B20CF49E35731"
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position
Frame,Time,X,Y,Z,W,X,Y,Z
228,1.900000,-0.004863,-0.698433,-0.005342,-0.715639,-0.663197,0.062936,-0.517956
229,1.908333,-0.004295,-0.698484,-0.005209,-0.715594,-0.663239,0.062820,-0.518005
230,1.916667,-0.004764,-0.698566,-0.004963,-0.715512,-0.663266,0.062884,-0.518006
231,1.925000,-0.004672,-0.698493,-0.005390,-0.715582,-0.663259,0.062875,-0.517980
232,1.933333,-0.004502,-0.698325,-0.005289,-0.715747,-0.663184,0.062873,-0.517988
233,1.941667,-0.004227,-0.698327,-0.005277,-0.715747,-0.663243,0.062858,-0.518035
234,1.950000,-0.004538,-0.698593,-0.005186,-0.715487,-0.663221,0.062876,-0.517977
235,1.958333,-0.004578,-0.698560,-0.004980,-0.715520,-0.663209,0.062867,-0.517962
236,1.966667,-0.004662,-0.698433,-0.005239,-0.715641,-0.663227,0.062867,-0.517994
237,1.975000,-0.004858,-0.698511,-0.004825,-0.715567,-0.663218,0.062874,-0.517967
238,1.983333,-0.004199,-0.698461,-0.005473,-0.715614,-0.663216,0.062905,-0.517999
239,1.991667,-0.004323,-0.698375,-0.005369,-0.715699,-0.663221,0.062901,-0.517964
240,2.000000,-0.004839,-0.698473,-0.005114,-0.715602,-0.663196,0.062901,-0.517961
241,2.008333,-0.004797,-0.698504,-0.005311,-0.715571,-0.663221,0.062932,-0.517970
242,2.016667,-0.004616,-0.698464,-0.005135,-0.715612,-0.663230,0.062865,-0.517997
243,2.025000,-0.004570,-0.698951,-0.004918,-0.715138,-0.663292,0.062838,-0.517942
